Date,avg_Temperature,min_Temperature,max_Temperature,avg_lower_bound,avg_upper_bound
2025-04-21,-1.1410568150387437e+51,-8.634879017293337e+51,6.831133520792795e+51,-1.1410568150387437e+51,-1.1410568150387437e+51
2025-04-22,8.018681509540018e+50,-2.2501226304288012e+52,2.1689011754249026e+52,8.018681509540018e+50,8.018681509540018e+50
2025-04-23,-1.1535644338963541e+52,-7.396163625309895e+52,4.668101294853563e+52,-1.1535644338963541e+52,-1.1535644338963541e+52
2025-04-24,1.2002922702338778e+52,-1.5590634983945638e+53,1.8842392245066168e+53,1.2002922702338778e+52,1.2002922702338778e+52
2025-04-25,-1.1188030940872293e+53,-6.4355802303405165e+53,3.8756009881852e+53,-1.1188030940872293e+53,-1.1188030940872293e+53
2025-04-26,1.3985373561365067e+53,-1.3159617599804197e+54,1.623220325397205e+54,1.3985373561365067e+53,1.3985373561365067e+53
2025-04-27,-1.0486982266222639e+54,-5.4547345649631904e+54,3.305542683157788e+54,-1.0486982266222639e+54,-1.0486982266222639e+54
2025-04-28,1.453121190842371e+54,-1.1270680027779783e+55,1.3910742133982518e+55,1.453121190842371e+54,1.453121190842371e+54
2025-04-29,-9.561545655000342e+54,-4.782195620659525e+55,2.8713721848307944e+55,-9.561545655000342e+54,-9.561545655000342e+54
2025-04-30,1.4010743736679414e+55,-9.807624149442224e+55,1.2107447488678496e+56,1.4010743736679414e+55,1.4010743736679414e+55
2025-05-01,-8.5087424634524e+55,-4.0891221661208114e+56,2.4738196933301806e+56,-8.5087424634524e+55,-8.5087424634524e+55
2025-05-02,1.2825245576474819e+56,-8.313459243200125e+56,1.0232160809166685e+57,1.2825245576474819e+56,1.2825245576474819e+56
2025-05-03,-7.3995916498218635e+56,-3.5430853208758894e+57,2.119778518919895e+57,-7.3995916498218635e+56,-7.3995916498218635e+56
2025-05-04,1.121784244742987e+57,-7.28773541818442e+57,9.00059629727605e+57,1.121784244742987e+57,1.121784244742987e+57
2025-05-05,-6.303386215873605e+57,-3.056447975222305e+58,1.8451467827069501e+58,-6.303386215873605e+57,-6.303386215873605e+57
2025-05-06,9.418585797959605e+57,-6.232002075810798e+58,7.678005803949915e+58,9.418585797959605e+57,9.418585797959605e+57
2025-05-07,-5.252832349378805e+58,-2.617201055188441e+59,1.559171560785131e+59,-5.252832349378805e+58,-5.252832349378805e+58
2025-05-08,7.587871933667248e+58,-5.399282249705319e+59,6.668007462926937e+59,7.587871933667248e+58,7.587871933667248e+58
2025-05-09,-4.286104164793423e+59,-2.277800841095032e+60,1.3716308381319015e+60,-4.286104164793423e+59,-4.286104164793423e+59
2025-05-10,5.825234086727486e+59,-4.658045582763724e+60,5.745778198861602e+60,5.825234086727486e+59,5.825234086727486e+59
2025-05-11,-3.416196349662533e+60,-1.9310689076174235e+61,1.1701757604236453e+61,-3.416196349662533e+60,-3.416196349662533e+60
2025-05-12,4.223994603307652e+60,-3.988232270239149e+61,4.9223280538998263e+61,4.223994603307652e+60,4.223994603307652e+60
2025-05-13,-2.654169824881049e+61,-1.6924773025597327e+62,1.0161298673454328e+62,-2.654169824881049e+61,-2.654169824881049e+61
2025-05-14,2.8090901196145323e+61,-3.4712954445359996e+62,4.285359496655356e+62,2.8090901196145323e+61,2.8090901196145323e+61
2025-05-15,-2.0030093321372545e+62,-1.4475124409476928e+63,8.756672385519392e+62,-2.0030093321372545e+62,-2.0030093321372545e+62
2025-05-16,1.6161279150269322e+62,-2.9431040801880694e+63,3.6203178125572965e+63,1.6161279150269322e+62,1.6161279150269322e+62
2025-05-17,-1.4565919196911132e+63,-1.2538472041366543e+64,7.500849216301944e+63,-1.4565919196911132e+63,-1.4565919196911132e+63
2025-05-18,6.39219936791214e+62,-2.5792168038999238e+64,3.185435736755459e+64,6.39219936791214e+62,6.39219936791214e+62
2025-05-19,-1.0114810314791354e+64,-1.0818745409931086e+65,6.530783318922673e+64,-1.0114810314791354e+64,-1.0114810314791354e+64
2025-05-20,-1.2812248639148927e+63,-2.206071160816359e+65,2.718041466465988e+65,-1.2812248639148927e+63,-1.2812248639148927e+63
2025-05-21,-6.550839394611396e+64,-9.09422979761189e+65,5.517243317240569e+65,-6.550839394611396e+64,-6.550839394611396e+64
2025-05-22,-7.012999197346581e+64,-1.9107276162578464e+66,2.2499876804832454e+66,-7.012999197346581e+64,-7.012999197346581e+64
2025-05-23,-3.7928054245975074e+65,-7.4483850159422e+66,4.854388133758968e+66,-3.7928054245975074e+65,-3.7928054245975074e+65
2025-05-24,-1.1081372139807773e+66,-1.648782395499675e+67,1.804172893455975e+67,-1.1081372139807773e+66,-1.1081372139807773e+66
